Tickers,Company,MCap,Price,24h Change %,Price Range
AAPL,Apple Inc.,385862.0,255.27,0.31,200-500
NVDA,NVIDIA Corporation,342052.0,139.67,3.69,100-200
MSFT,Microsoft Corporation,323603.0,435.25,-0.31,200-500
GOOGL,Alphabet Inc.,238247.0,194.63,1.68,100-200
AMZN,"Amazon.com, Inc.",236651.0,225.06,0.06,200-500
GOOG,Alphabet Inc.,235163.0,195.99,1.57,100-200
META,"Meta Platforms, Inc.",151431.0,599.85,2.49,500-1000
TSLA,"Tesla, Inc.",138225.0,430.6,2.27,200-500
AVGO,Broadcom Inc.,108521.0,232.35,5.52,200-500
BRK.B,Berkshire Hathaway Inc.,98003.0,454.35,0.25,200-500
WMT,Walmart Inc.,72582.0,90.35,-2.05,50-100
LLY,Eli Lilly and Company,71700.0,796.28,3.71,500-1000
JPM,JPMorgan Chase & Co.,67115.0,238.39,0.33,200-500
V,Visa Inc.,62167.0,317.22,-0.15,200-500
MA,Mastercard Incorporated,48550.0,528.96,0.18,500-1000
ORCL,Oracle Corporation,47308.0,169.14,-0.31,100-200
XOM,Exxon Mobil Corporation,46720.0,106.3,0.41,100-200
UNH,UnitedHealth Group Incorporated,46598.0,506.34,1.24,500-1000
COST,Costco Wholesale Corporation,42166.0,949.91,-0.44,500-1000
PG,The Procter & Gamble Company,39591.0,168.11,0.03,100-200
HD,"The Home Depot, Inc.",38985.0,392.45,-0.04,200-500
NFLX,"Netflix, Inc.",38961.0,911.45,0.26,500-1000
JNJ,Johnson & Johnson,34976.0,145.27,0.55,100-200
BAC,Bank of America Corporation,33676.0,43.89,-0.63,<50
CRM,"Salesforce, Inc.",32816.0,342.9,-0.22,200-500
ABBV,AbbVie Inc.,31524.0,178.39,1.6,100-200
KO,The Coca-Cola Company,26872.0,62.38,-0.27,50-100
TMUS,"T-Mobile US, Inc.",25723.0,221.66,0.61,200-500
CVX,Chevron Corporation,25693.0,142.97,0.08,100-200
MRK,"Merck & Co., Inc.",25137.0,99.37,1.35,50-100
CSCO,"Cisco Systems, Inc.",23490.0,58.98,0.79,50-100
WFC,Wells Fargo & Company,23486.0,70.54,0.28,50-100
NOW,"ServiceNow, Inc.",22453.0,,-0.27,
ACN,Accenture plc,22440.0,358.77,-2.07,200-500
AXP,American Express Company,21049.0,298.8,0.05,200-500
BX,Blackstone Inc.,21034.0,172.19,0.79,100-200
PEP,"PepsiCo, Inc.",20998.0,151.29,-0.98,100-200
MCD,McDonald's Corporation,20874.0,291.29,-0.47,200-500
IBM,International Business Machines Corporation,20521.0,221.93,-0.64,200-500
AMD,"Advanced Micro Devices, Inc.",20220.0,124.6,4.52,100-200
DIS,The Walt Disney Company,20174.0,111.4,-0.56,100-200
LIN,Linde plc,20110.0,422.33,-0.47,200-500
TMO,Thermo Fisher Scientific Inc.,20092.0,525.29,0.24,500-1000
MS,Morgan Stanley,20049.0,124.45,0.82,100-200
ABT,Abbott Laboratories,19827.0,114.31,0.07,100-200
ADBE,Adobe Inc.,19665.0,446.74,-0.1,200-500
PM,Philip Morris International Inc.,19246.0,123.78,-0.35,100-200
GS,"The Goldman Sachs Group, Inc.",18791.0,570.78,0.83,500-1000
ISRG,"Intuitive Surgical, Inc.",18778.0,527.22,0.53,500-1000
PLTR,Palantir Technologies Inc.,18381.0,80.69,0.17,50-100
GE,General Electric Company,18293.0,169.02,0.39,100-200
INTU,Intuit Inc.,17875.0,638.3,-0.79,500-1000
CAT,Caterpillar Inc.,17641.0,365.39,-0.18,200-500
QCOM,QUALCOMM Incorporated,17580.0,158.24,3.5,100-200
TXN,Texas Instruments Incorporated,17345.0,190.14,1.75,100-200
VZ,Verizon Communications Inc.,16813.0,39.94,0.03,<50
